"","ID","Date","Cases","Cases_New","Type","Age","Sex","Source"
"75","CN",2020-01-23,606,97,"Active","Total","Total","JRC"
"76","CN",2020-01-23,643,95,"Confirmed","Total","Total","JHU"
"77","CN",2020-01-23,623,97,"Confirmed","Total","Total","JRC"
"78","CN",2020-01-23,18,1,"Deaths","Total","Total","JHU"
"79","CN",2020-01-23,17,0,"Deaths","Total","Total","JRC"
"80","CN",2020-01-23,30,2,"Recovered","Total","Total","JHU"
"81","CN",2020-01-24,858,263,"Active","Total","Total","JHU"
"82","CN",2020-01-24,856,250,"Active","Total","Total","JRC"
"83","CN",2020-01-24,920,277,"Confirmed","Total","Total","JHU"
"84","CN",2020-01-24,882,259,"Confirmed","Total","Total","JRC"
"85","CN",2020-01-24,26,8,"Deaths","Total","Total","JHU"
"86","CN",2020-01-24,26,9,"Deaths","Total","Total","JRC"
"87","CN",2020-01-24,36,6,"Recovered","Total","Total","JHU"
"88","CN",2020-01-25,1325,467,"Active","Total","Total","JHU"
"89","CN",2020-01-25,1282,426,"Active","Total","Total","JRC"
"90","CN",2020-01-25,1406,486,"Confirmed","Total","Total","JHU"
"91","CN",2020-01-25,1323,441,"Confirmed","Total","Total","JRC"
"92","CN",2020-01-25,42,16,"Deaths","Total","Total","JHU"
"93","CN",2020-01-25,41,15,"Deaths","Total","Total","JRC"
"94","CN",2020-01-25,39,3,"Recovered","Total","Total","JHU"
"95","CN",2020-01-26,1970,645,"Active","Total","Total","JHU"
"96","CN",2020-01-26,1932,650,"Active","Total","Total","JRC"
"97","CN",2020-01-26,2075,669,"Confirmed","Total","Total","JHU"
"98","CN",2020-01-26,1988,665,"Confirmed","Total","Total","JRC"
"99","CN",2020-01-26,56,14,"Deaths","Total","Total","JHU"
"100","CN",2020-01-26,56,15,"Deaths","Total","Total","JRC"
"101","CN",2020-01-26,49,10,"Recovered","Total","Total","JHU"
"102","CN",2020-01-27,2737,767,"Active","Total","Total","JHU"
"103","CN",2020-01-27,2694,762,"Active","Total","Total","JRC"
"104","CN",2020-01-27,2877,802,"Confirmed","Total","Total","JHU"
"105","CN",2020-01-27,2775,787,"Confirmed","Total","Total","JRC"
"106","CN",2020-01-27,82,26,"Deaths","Total","Total","JHU"
"107","CN",2020-01-27,81,25,"Deaths","Total","Total","JRC"
"108","CN",2020-01-27,58,9,"Recovered","Total","Total","JHU"
"109","CN",2020-01-28,5277,2540,"Active","Total","Total","JHU"
"110","CN",2020-01-28,4422,1728,"Active","Total","Total","JRC"
"111","CN",2020-01-28,5509,2632,"Confirmed","Total","Total","JHU"
"112","CN",2020-01-28,4528,1753,"Confirmed","Total","Total","JRC"
"113","CN",2020-01-28,131,49,"Deaths","Total","Total","JHU"
"114","CN",2020-01-28,106,25,"Deaths","Total","Total","JRC"
"115","CN",2020-01-28,101,43,"Recovered","Total","Total","JHU"
"116","CN",2020-01-29,5834,557,"Active","Total","Total","JHU"
"117","CN",2020-01-29,5862,1440,"Active","Total","Total","JRC"
"118","CN",2020-01-29,6087,578,"Confirmed","Total","Total","JHU"
"119","CN",2020-01-29,5994,1466,"Confirmed","Total","Total","JRC"
"120","CN",2020-01-29,133,2,"Deaths","Total","Total","JHU"
"121","CN",2020-01-29,132,26,"Deaths","Total","Total","JRC"
"122","CN",2020-01-29,120,19,"Recovered","Total","Total","JHU"
"123","CN",2020-01-30,7835,2001,"Active","Total","Total","JHU"
"124","CN",2020-01-30,7564,1702,"Active","Total","Total","JRC"
"125","CN",2020-01-30,8141,2054,"Confirmed","Total","Total","JHU"
"126","CN",2020-01-30,7734,1740,"Confirmed","Total","Total","JRC"
"127","CN",2020-01-30,171,38,"Deaths","Total","Total","JHU"
"128","CN",2020-01-30,170,38,"Deaths","Total","Total","JRC"
"129","CN",2020-01-30,135,15,"Recovered","Total","Total","JHU"
"130","CN",2020-01-31,9375,1540,"Active","Total","Total","JHU"
"131","CN",2020-01-31,9501,1937,"Active","Total","Total","JRC"
"132","CN",2020-01-31,9802,1661,"Confirmed","Total","Total","JHU"
"133","CN",2020-01-31,9714,1980,"Confirmed","Total","Total","JRC"
"134","CN",2020-01-31,213,42,"Deaths","Total","Total","JHU"
"135","CN",2020-01-31,213,43,"Deaths","Total","Total","JRC"
"136","CN",2020-01-31,214,79,"Recovered","Total","Total","JHU"
"137","CN",2020-02-01,11357,1982,"Active","Total","Total","JHU"
"138","CN",2020-02-01,11550,2049,"Active","Total","Total","JRC"
"139","CN",2020-02-01,11891,2089,"Confirmed","Total","Total","JHU"
"140","CN",2020-02-01,11809,2095,"Confirmed","Total","Total","JRC"
"141","CN",2020-02-01,259,46,"Deaths","Total","Total","JHU"
"142","CN",2020-02-01,259,46,"Deaths","Total","Total","JRC"
"143","CN",2020-02-01,275,61,"Recovered","Total","Total","JHU"
"144","CN",2020-02-02,15806,4449,"Active","Total","Total","JHU"
"145","CN",2020-02-02,14095,2545,"Active","Total","Total","JRC"
"146","CN",2020-02-02,16630,4739,"Confirmed","Total","Total","JHU"
"147","CN",2020-02-02,14399,2590,"Confirmed","Total","Total","JRC"
"148","CN",2020-02-02,361,102,"Deaths","Total","Total","JHU"
"149","CN",2020-02-02,304,45,"Deaths","Total","Total","JRC"
"150","CN",2020-02-02,463,188,"Recovered","Total","Total","JHU"
"151","CN",2020-02-03,18677,2871,"Active","Total","Total","JHU"
"152","CN",2020-02-03,16850,2755,"Active","Total","Total","JRC"
"153","CN",2020-02-03,19716,3086,"Confirmed","Total","Total","JHU"
"154","CN",2020-02-03,17211,2812,"Confirmed","Total","Total","JRC"
"155","CN",2020-02-03,425,64,"Deaths","Total","Total","JHU"
"156","CN",2020-02-03,361,57,"Deaths","Total","Total","JRC"
"157","CN",2020-02-03,614,151,"Recovered","Total","Total","JHU"
"158","CN",2020-02-04,22373,3696,"Active","Total","Total","JHU"
"159","CN",2020-02-04,20022,3172,"Active","Total","Total","JRC"
"160","CN",2020-02-04,23707,3991,"Confirmed","Total","Total","JHU"
"161","CN",2020-02-04,20448,3237,"Confirmed","Total","Total","JRC"
"162","CN",2020-02-04,491,66,"Deaths","Total","Total","JHU"
"163","CN",2020-02-04,426,65,"Deaths","Total","Total","JRC"
"164","CN",2020-02-04,843,229,"Recovered","Total","Total","JHU"
"165","CN",2020-02-05,25762,3389,"Active","Total","Total","JHU"
"166","CN",2020-02-05,23828,3806,"Active","Total","Total","JRC"
"167","CN",2020-02-05,27440,3733,"Confirmed","Total","Total","JHU"
"168","CN",2020-02-05,24320,3872,"Confirmed","Total","Total","JRC"
"169","CN",2020-02-05,563,72,"Deaths","Total","Total","JHU"
"170","CN",2020-02-05,492,66,"Deaths","Total","Total","JRC"
"171","CN",2020-02-05,1115,272,"Recovered","Total","Total","JHU"
"172","CN",2020-02-06,28477,2715,"Active","Total","Total","JHU"
"173","CN",2020-02-06,27483,3655,"Active","Total","Total","JRC"
"174","CN",2020-02-06,30587,3147,"Confirmed","Total","Total","JHU"
"175","CN",2020-02-06,28047,3727,"Confirmed","Total","Total","JRC"
"176","CN",2020-02-06,633,70,"Deaths","Total","Total","JHU"
"177","CN",2020-02-06,564,72,"Deaths","Total","Total","JRC"
"178","CN",2020-02-06,1477,362,"Recovered","Total","Total","JHU"
"179","CN",2020-02-07,31393,2916,"Active","Total","Total","JHU"
"180","CN",2020-02-07,30570,3087,"Active","Total","Total","JRC"
"181","CN",2020-02-07,34110,3523,"Confirmed","Total","Total","JHU"
"182","CN",2020-02-07,31207,3160,"Confirmed","Total","Total","JRC"
"183","CN",2020-02-07,718,85,"Deaths","Total","Total","JHU"
"184","CN",2020-02-07,637,73,"Deaths","Total","Total","JRC"
"185","CN",2020-02-07,1999,522,"Recovered","Total","Total","JHU"
"186","CN",2020-02-08,33413,2020,"Active","Total","Total","JHU"
"187","CN",2020-02-08,33902,3332,"Active","Total","Total","JRC"
"188","CN",2020-02-08,36814,2704,"Confirmed","Total","Total","JHU"
"189","CN",2020-02-08,34625,3418,"Confirmed","Total","Total","JRC"
"190","CN",2020-02-08,805,87,"Deaths","Total","Total","JHU"
"191","CN",2020-02-08,723,86,"Deaths","Total","Total","JRC"
"192","CN",2020-02-08,2596,597,"Recovered","Total","Total","JHU"
"193","CN",2020-02-09,35705,2292,"Active","Total","Total","JHU"
"194","CN",2020-02-09,36420,2518,"Active","Total","Total","JRC"
"195","CN",2020-02-09,39829,3015,"Confirmed","Total","Total","JHU"
"196","CN",2020-02-09,37232,2607,"Confirmed","Total","Total","JRC"
"197","CN",2020-02-09,905,100,"Deaths","Total","Total","JHU"
"198","CN",2020-02-09,812,89,"Deaths","Total","Total","JRC"
"199","CN",2020-02-09,3219,623,"Recovered","Total","Total","JHU"
"200","CN",2020-02-10,37424,1719,"Active","Total","Total","JHU"
"201","CN",2020-02-10,39297,2877,"Active","Total","Total","JRC"
"202","CN",2020-02-10,42354,2525,"Confirmed","Total","Total","JHU"
"203","CN",2020-02-10,40206,2974,"Confirmed","Total","Total","JRC"
"204","CN",2020-02-10,1012,107,"Deaths","Total","Total","JHU"
"205","CN",2020-02-10,909,97,"Deaths","Total","Total","JRC"
"206","CN",2020-02-10,3918,699,"Recovered","Total","Total","JHU"
"207","CN",2020-02-11,38638,1214,"Active","Total","Total","JHU"
"208","CN",2020-02-11,41679,2382,"Active","Total","Total","JRC"
"209","CN",2020-02-11,44386,2032,"Confirmed","Total","Total","JHU"
"210","CN",2020-02-11,42696,2490,"Confirmed","Total","Total","JRC"
"211","CN",2020-02-11,1112,100,"Deaths","Total","Total","JHU"
"212","CN",2020-02-11,1017,108,"Deaths","Total","Total","JRC"
"213","CN",2020-02-11,4636,718,"Recovered","Total","Total","JHU"
"214","CN",2020-02-12,38560,-78,"Active","Total","Total","JHU"
"215","CN",2020-02-12,43610,1931,"Active","Total","Total","JRC"
"216","CN",2020-02-12,44759,373,"Confirmed","Total","Total","JHU"
"217","CN",2020-02-12,44724,2028,"Confirmed","Total","Total","JRC"
"218","CN",2020-02-12,1117,5,"Deaths","Total","Total","JHU"
"219","CN",2020-02-12,1114,97,"Deaths","Total","Total","JRC"
"220","CN",2020-02-12,5082,446,"Recovered","Total","Total","JHU"
"221","CN",2020-02-13,52309,13749,"Active","Total","Total","JHU"
"222","CN",2020-02-13,58497,14887,"Active","Total","Total","JRC"
"223","CN",2020-02-13,59895,15136,"Confirmed","Total","Total","JHU"
"224","CN",2020-02-13,59865,15141,"Confirmed","Total","Total","JRC"
"225","CN",2020-02-13,1369,252,"Deaths","Total","Total","JHU"
"226","CN",2020-02-13,1368,254,"Deaths","Total","Total","JRC"
"227","CN",2020-02-13,6217,1135,"Recovered","Total","Total","JHU"
"228","CN",2020-02-14,56860,4551,"Active","Total","Total","JHU"
"229","CN",2020-02-14,62640,4143,"Active","Total","Total","JRC"
"230","CN",2020-02-14,66358,6463,"Confirmed","Total","Total","JHU"
"231","CN",2020-02-14,64021,4156,"Confirmed","Total","Total","JRC"
"232","CN",2020-02-14,1521,152,"Deaths","Total","Total","JHU"
"233","CN",2020-02-14,1381,13,"Deaths","Total","Total","JRC"
"234","CN",2020-02-14,7977,1760,"Recovered","Total","Total","JHU"
"235","CN",2020-02-15,57452,592,"Active","Total","Total","JHU"
"236","CN",2020-02-15,65035,2395,"Active","Total","Total","JRC"
"237","CN",2020-02-15,68413,2055,"Confirmed","Total","Total","JHU"
"238","CN",2020-02-15,66559,2538,"Confirmed","Total","Total","JRC"
"239","CN",2020-02-15,1663,142,"Deaths","Total","Total","JHU"
"240","CN",2020-02-15,1524,143,"Deaths","Total","Total","JRC"
"241","CN",2020-02-15,9298,1321,"Recovered","Total","Total","JHU"
"242","CN",2020-02-16,57992,540,"Active","Total","Total","JHU"
"243","CN",2020-02-16,66900,1865,"Active","Total","Total","JRC"
"244","CN",2020-02-16,70513,2100,"Confirmed","Total","Total","JHU"
"245","CN",2020-02-16,68566,2007,"Confirmed","Total","Total","JRC"
"246","CN",2020-02-16,1766,103,"Deaths","Total","Total","JHU"
"247","CN",2020-02-16,1666,142,"Deaths","Total","Total","JRC"
"248","CN",2020-02-16,10755,1457,"Recovered","Total","Total","JHU"
"249","CN",2020-02-17,58108,116,"Active","Total","Total","JHU"
"250","CN",2020-02-17,68847,1947,"Active","Total","Total","JRC"
"251","CN",2020-02-17,72434,1921,"Confirmed","Total","Total","JHU"
"252","CN",2020-02-17,70618,2052,"Confirmed","Total","Total","JRC"
"253","CN",2020-02-17,1864,98,"Deaths","Total","Total","JHU"
"254","CN",2020-02-17,1771,105,"Deaths","Total","Total","JRC"
"255","CN",2020-02-17,12462,1707,"Recovered","Total","Total","JHU"
"256","CN",2020-02-18,58002,-106,"Active","Total","Total","JHU"
"257","CN",2020-02-18,70639,1792,"Active","Total","Total","JRC"
"258","CN",2020-02-18,74211,1777,"Confirmed","Total","Total","JHU"
"259","CN",2020-02-18,72508,1890,"Confirmed","Total","Total","JRC"
"260","CN",2020-02-18,2003,139,"Deaths","Total","Total","JHU"
"261","CN",2020-02-18,1869,98,"Deaths","Total","Total","JRC"
"262","CN",2020-02-18,14206,1744,"Recovered","Total","Total","JHU"
"263","CN",2020-02-19,56541,-1461,"Active","Total","Total","JHU"
"264","CN",2020-02-19,72250,1611,"Active","Total","Total","JRC"
"265","CN",2020-02-19,74619,408,"Confirmed","Total","Total","JHU"
"266","CN",2020-02-19,74258,1750,"Confirmed","Total","Total","JRC"
"267","CN",2020-02-19,2116,113,"Deaths","Total","Total","JHU"
"268","CN",2020-02-19,2008,139,"Deaths","Total","Total","JRC"
"269","CN",2020-02-19,15962,1756,"Recovered","Total","Total","JHU"
"270","CN",2020-02-20,54825,-1716,"Active","Total","Total","JHU"
"271","CN",2020-02-20,72532,282,"Active","Total","Total","JRC"
"272","CN",2020-02-20,75077,458,"Confirmed","Total","Total","JHU"
"273","CN",2020-02-20,74652,394,"Confirmed","Total","Total","JRC"
"274","CN",2020-02-20,2238,122,"Deaths","Total","Total","JHU"
"275","CN",2020-02-20,2120,112,"Deaths","Total","Total","JRC"
"276","CN",2020-02-20,18014,2052,"Recovered","Total","Total","JHU"
"277","CN",2020-02-21,54608,-217,"Active","Total","Total","JHU"
"278","CN",2020-02-21,73305,773,"Active","Total","Total","JRC"
"279","CN",2020-02-21,75550,473,"Confirmed","Total","Total","JHU"
"280","CN",2020-02-21,75543,891,"Confirmed","Total","Total","JRC"
"281","CN",2020-02-21,2238,0,"Deaths","Total","Total","JHU"
"282","CN",2020-02-21,2238,118,"Deaths","Total","Total","JRC"
"283","CN",2020-02-21,18704,690,"Recovered","Total","Total","JHU"
"284","CN",2020-02-22,51859,-2749,"Active","Total","Total","JHU"
"285","CN",2020-02-22,74022,717,"Active","Total","Total","JRC"
"286","CN",2020-02-22,77001,1451,"Confirmed","Total","Total","JHU"
"287","CN",2020-02-22,76369,826,"Confirmed","Total","Total","JRC"
"288","CN",2020-02-22,2443,205,"Deaths","Total","Total","JHU"
"289","CN",2020-02-22,2347,109,"Deaths","Total","Total","JRC"
"290","CN",2020-02-22,22699,3995,"Recovered","Total","Total","JHU"
"291","CN",2020-02-23,51390,-469,"Active","Total","Total","JHU"
"292","CN",2020-02-23,74571,549,"Active","Total","Total","JRC"
"293","CN",2020-02-23,77022,21,"Confirmed","Total","Total","JHU"
"294","CN",2020-02-23,77016,647,"Confirmed","Total","Total","JRC"
"295","CN",2020-02-23,2445,2,"Deaths","Total","Total","JHU"
"296","CN",2020-02-23,2445,98,"Deaths","Total","Total","JRC"
"297","CN",2020-02-23,23187,488,"Recovered","Total","Total","JHU"
"298","CN",2020-02-24,49631,-1759,"Active","Total","Total","JHU"
"299","CN",2020-02-24,74639,68,"Active","Total","Total","JRC"
"300","CN",2020-02-24,77241,219,"Confirmed","Total","Total","JHU"
"301","CN",2020-02-24,77234,218,"Confirmed","Total","Total","JRC"
"302","CN",2020-02-24,2595,150,"Deaths","Total","Total","JHU"
"303","CN",2020-02-24,2595,150,"Deaths","Total","Total","JRC"
"304","CN",2020-02-24,25015,1828,"Recovered","Total","Total","JHU"
"305","CN",2020-02-25,47413,-2218,"Active","Total","Total","JHU"
"306","CN",2020-02-25,75084,445,"Active","Total","Total","JRC"
"307","CN",2020-02-25,77754,513,"Confirmed","Total","Total","JHU"
"308","CN",2020-02-25,77749,515,"Confirmed","Total","Total","JRC"
"309","CN",2020-02-25,2665,70,"Deaths","Total","Total","JHU"
"310","CN",2020-02-25,2665,70,"Deaths","Total","Total","JRC"
"311","CN",2020-02-25,27676,2661,"Recovered","Total","Total","JHU"
"312","CN",2020-02-26,45365,-2048,"Active","Total","Total","JHU"
"313","CN",2020-02-26,75442,358,"Active","Total","Total","JRC"
"314","CN",2020-02-26,78166,412,"Confirmed","Total","Total","JHU"
"315","CN",2020-02-26,78159,410,"Confirmed","Total","Total","JRC"
"316","CN",2020-02-26,2717,52,"Deaths","Total","Total","JHU"
"317","CN",2020-02-26,2717,52,"Deaths","Total","Total","JRC"
"318","CN",2020-02-26,30084,2408,"Recovered","Total","Total","JHU"
"319","CN",2020-02-27,42924,-2441,"Active","Total","Total","JHU"
"320","CN",2020-02-27,75852,410,"Active","Total","Total","JRC"
"321","CN",2020-02-27,78600,434,"Confirmed","Total","Total","JHU"
"322","CN",2020-02-27,78598,439,"Confirmed","Total","Total","JRC"
"323","CN",2020-02-27,2746,29,"Deaths","Total","Total","JHU"
"324","CN",2020-02-27,2746,29,"Deaths","Total","Total","JRC"
"325","CN",2020-02-27,32930,2846,"Recovered","Total","Total","JHU"
"326","CN",2020-02-28,39809,-3115,"Active","Total","Total","JHU"
"327","CN",2020-02-28,76137,285,"Active","Total","Total","JRC"
"328","CN",2020-02-28,78928,328,"Confirmed","Total","Total","JHU"
"329","CN",2020-02-28,78927,329,"Confirmed","Total","Total","JRC"
"330","CN",2020-02-28,2790,44,"Deaths","Total","Total","JHU"
"331","CN",2020-02-28,2790,44,"Deaths","Total","Total","JRC"
"332","CN",2020-02-28,36329,3399,"Recovered","Total","Total","JHU"
"333","CN",2020-02-29,37199,-2610,"Active","Total","Total","JHU"
"334","CN",2020-02-29,76518,381,"Active","Total","Total","JRC"
"335","CN",2020-02-29,79356,428,"Confirmed","Total","Total","JHU"
"336","CN",2020-02-29,79355,428,"Confirmed","Total","Total","JRC"
"337","CN",2020-02-29,2837,47,"Deaths","Total","Total","JHU"
"338","CN",2020-02-29,2837,47,"Deaths","Total","Total","JRC"
"339","CN",2020-02-29,39320,2991,"Recovered","Total","Total","JHU"
"340","CN",2020-03-01,34898,-2301,"Active","Total","Total","JHU"
"341","CN",2020-03-01,77057,539,"Active","Total","Total","JRC"
"342","CN",2020-03-01,79932,576,"Confirmed","Total","Total","JHU"
"343","CN",2020-03-01,79929,574,"Confirmed","Total","Total","JRC"
"344","CN",2020-03-01,2872,35,"Deaths","Total","Total","JHU"
"345","CN",2020-03-01,2872,35,"Deaths","Total","Total","JRC"
"346","CN",2020-03-01,42162,2842,"Recovered","Total","Total","JHU"
"347","CN",2020-03-02,32368,-2530,"Active","Total","Total","JHU"
"348","CN",2020-03-02,77220,163,"Active","Total","Total","JRC"
"349","CN",2020-03-02,80136,204,"Confirmed","Total","Total","JHU"
"350","CN",2020-03-02,80134,205,"Confirmed","Total","Total","JRC"
"351","CN",2020-03-02,2914,42,"Deaths","Total","Total","JHU"
"352","CN",2020-03-02,2914,42,"Deaths","Total","Total","JRC"
"353","CN",2020-03-02,44854,2692,"Recovered","Total","Total","JHU"
"354","CN",2020-03-03,29864,-2504,"Active","Total","Total","JHU"
"355","CN",2020-03-03,77315,95,"Active","Total","Total","JRC"
"356","CN",2020-03-03,80261,125,"Confirmed","Total","Total","JHU"
"357","CN",2020-03-03,80261,127,"Confirmed","Total","Total","JRC"
"358","CN",2020-03-03,2947,33,"Deaths","Total","Total","JHU"
"359","CN",2020-03-03,2946,32,"Deaths","Total","Total","JRC"
"360","CN",2020-03-03,47450,2596,"Recovered","Total","Total","JHU"
"361","CN",2020-03-04,27402,-2462,"Active","Total","Total","JHU"
"362","CN",2020-03-04,77397,82,"Active","Total","Total","JRC"
"363","CN",2020-03-04,80386,125,"Confirmed","Total","Total","JHU"
"364","CN",2020-03-04,80380,119,"Confirmed","Total","Total","JRC"
"365","CN",2020-03-04,2983,36,"Deaths","Total","Total","JHU"
"366","CN",2020-03-04,2983,37,"Deaths","Total","Total","JRC"
"367","CN",2020-03-04,50001,2551,"Recovered","Total","Total","JHU"
"368","CN",2020-03-05,25230,-2172,"Active","Total","Total","JHU"
"369","CN",2020-03-05,77483,86,"Active","Total","Total","JRC"
"370","CN",2020-03-05,80537,151,"Confirmed","Total","Total","JHU"
"371","CN",2020-03-05,80497,117,"Confirmed","Total","Total","JRC"
"372","CN",2020-03-05,3015,32,"Deaths","Total","Total","JHU"
"373","CN",2020-03-05,3014,31,"Deaths","Total","Total","JRC"
"374","CN",2020-03-05,52292,2291,"Recovered","Total","Total","JHU"
"375","CN",2020-03-06,23702,-1528,"Active","Total","Total","JHU"
"376","CN",2020-03-06,77623,140,"Active","Total","Total","JRC"
"377","CN",2020-03-06,80690,153,"Confirmed","Total","Total","JHU"
"378","CN",2020-03-06,80667,170,"Confirmed","Total","Total","JRC"
"379","CN",2020-03-06,3044,29,"Deaths","Total","Total","JHU"
"380","CN",2020-03-06,3044,30,"Deaths","Total","Total","JRC"
"381","CN",2020-03-06,53944,1652,"Recovered","Total","Total","JHU"
"382","CN",2020-03-07,22159,-1543,"Active","Total","Total","JHU"
"383","CN",2020-03-07,77696,73,"Active","Total","Total","JRC"
"384","CN",2020-03-07,80770,80,"Confirmed","Total","Total","JHU"
"385","CN",2020-03-07,80768,101,"Confirmed","Total","Total","JRC"
"386","CN",2020-03-07,3072,28,"Deaths","Total","Total","JHU"
"387","CN",2020-03-07,3072,28,"Deaths","Total","Total","JRC"
"388","CN",2020-03-07,55539,1595,"Recovered","Total","Total","JHU"
"389","CN",2020-03-08,20335,-1824,"Active","Total","Total","JHU"
"390","CN",2020-03-08,77715,19,"Active","Total","Total","JRC"
"391","CN",2020-03-08,80823,53,"Confirmed","Total","Total","JHU"
"392","CN",2020-03-08,80814,46,"Confirmed","Total","Total","JRC"
"393","CN",2020-03-08,3100,28,"Deaths","Total","Total","JHU"
"394","CN",2020-03-08,3099,27,"Deaths","Total","Total","JRC"
"395","CN",2020-03-08,57388,1849,"Recovered","Total","Total","JHU"
"396","CN",2020-03-09,18933,-1402,"Active","Total","Total","JHU"
"397","CN",2020-03-09,77737,22,"Active","Total","Total","JRC"
"398","CN",2020-03-09,80860,37,"Confirmed","Total","Total","JHU"
"399","CN",2020-03-09,80859,45,"Confirmed","Total","Total","JRC"
"400","CN",2020-03-09,3123,23,"Deaths","Total","Total","JHU"
